200bin,adj sales (bin),Adjusted sales (bin),Adjusted sales (bin) 50,Adjusted sales 1,Adjusted Sales 1 (bin),Area Code,Area Code (Location),Date,Market,Market Size,Product,Product Id,Product Type,ProductId (Product),Sales (bin),Sales (bin) 100,Sales (bin) 50,Sales (bin) 70,Sales100bin,SalesTab (bin),State,Type,adj sales,Adjusted sales,Adjusted Sales 1,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Inventory,Margin,Marketing,Number of Records,Profit,Sales,Total Expenses
200,200,215,200,200,200,719,719,01-01-2010 00:00:00,Central,Major Market,Amaretto,1,Coffee,1,205.8,200,200,210,200,160,Colorado,Regular,219,219,219,90,130,100,220,89,777,130,24,1,94,219,36
0,150,167,150,150,175,970,970,01-01-2010 00:00:00,Central,Major Market,Columbian,2,Coffee,2,171.5,100,150,140,100,160,Colorado,Regular,190,190,190,80,110,80,190,83,623,107,27,1,68,190,39
200,200,215,200,200,225,970,970,01-01-2010 00:00:00,Central,Major Market,Decaf Irish Cream,3,Coffee,3,205.8,200,200,210,200,160,Colorado,Decaf,234,234,234,100,140,110,240,95,821,139,26,1,101,234,38
0,100,96,100,100,100,303,303,01-01-2010 00:00:00,Central,Major Market,Green Tea,13,Tea,13,68.6,100,100,77-139,100,80,Colorado,Regular,100,100,100,30,50,30,80,44,623,56,14,1,30,100,26
0,100,120,100,100,125,303,303,01-01-2010 00:00:00,Central,Major Market,Caffe Mocha,5,Espresso,5,102.9,100,100,77-139,100,80,Colorado,Regular,134,134,134,60,90,70,150,54,456,80,15,1,54,134,26
0,150,167,150,150,175,720,720,01-01-2010 00:00:00,Central,Major Market,Decaf Espresso,6,Espresso,6,171.5,100,150,140,100,160,Colorado,Decaf,180,180,180,80,130,80,210,72,558,108,23,1,53,180,55
200,300,335,300,300,325,970,970,01-01-2010 00:00:00,Central,Major Market,Chamomile,8,Herbal Tea,8,308.7,300,300,280,300,320,Colorado,Decaf,341,341,341,140,160,110,300,170,1091,171,47,1,99,341,72
0,150,143,150,150,150,719,719,01-01-2010 00:00:00,Central,Major Market,Lemon,9,Herbal Tea,9,137.2,100,150,140,100,80,Colorado,Decaf,150,150,150,50,80,20,130,63,435,87,57,1,0,150,87
0,100,120,100,100,125,970,970,01-01-2010 00:00:00,Central,Major Market,Mint,10,Herbal Tea,10,137.2,100,100,140,100,80,Colorado,Decaf,140,140,140,50,70,40,120,60,336,80,19,1,33,140,47
0,100,120,100,100,125,719,719,01-01-2010 00:00:00,Central,Major Market,Darjeeling,11,Tea,11,102.9,100,100,77-139,100,80,Colorado,Regular,130,130,130,40,70,20,110,58,338,72,22,1,17,130,55
0,100,120,100,100,125,303,303,01-01-2010 00:00:00,Central,Major Market,Earl Grey,12,Tea,12,137.2,100,100,140,100,80,Colorado,Regular,140,140,140,50,70,40,120,64,965,76,19,1,36,140,40
200,300,335,300,300,325,217,217,01-01-2010 00:00:00,Central,Major Market,Columbian,2,Coffee,2,343.0,300,300,280,300,320,Illinois,Regular,345,345,345,150,210,130,360,144,862,201,47,1,111,345,90
200,200,215,200,200,225,309,309,01-01-2010 00:00:00,Central,Major Market,Decaf Irish Cream,3,Coffee,3,205.8,200,200,210,200,160,Illinois,Decaf,234,234,234,100,140,100,240,95,608,139,30,1,87,234,52
400,400,382,400,400,400,309,309,01-01-2010 00:00:00,Central,Major Market,Caffe Mocha,5,Espresso,5,514.5,500,500,490,500,480,Illinois,Regular,400,400,400,270,370,260,640,234,1310,312,77,1,203,546,109
400,400,382,400,400,400,630,630,01-01-2010 00:00:00,Central,Major Market,Decaf Espresso,6,Espresso,6,445.9,400,450,420,400,400,Illinois,Decaf,400,400,400,260,270,180,530,228,1459,228,63,1,140,456,88
200,200,215,200,200,200,312,312,01-01-2010 00:00:00,Central,Major Market,Chamomile,8,Herbal Tea,8,205.8,200,200,210,200,160,Illinois,Decaf,219,219,219,70,120,100,190,89,777,130,24,1,95,219,35
0,150,167,150,150,175,630,630,01-01-2010 00:00:00,Central,Major Market,Lemon,9,Herbal Tea,9,171.5,100,150,140,100,160,Illinois,Decaf,190,190,190,70,90,60,160,83,623,107,27,1,68,190,39
200,200,215,200,200,225,773,773,01-01-2010 00:00:00,Central,Major Market,Mint,10,Herbal Tea,10,205.8,200,200,210,200,160,Illinois,Decaf,234,234,234,80,120,100,200,95,821,139,26,1,101,234,38
0,100,120,100,100,125,217,217,01-01-2010 00:00:00,Central,Major Market,Darjeeling,11,Tea,11,102.9,100,100,77-139,100,80,Illinois,Regular,134,134,134,40,70,50,110,54,456,80,15,1,53,134,27
0,150,167,150,150,175,708,708,01-01-2010 00:00:00,Central,Major Market,Earl Grey,12,Tea,12,171.5,100,150,140,100,160,Illinois,Regular,180,180,180,60,90,40,150,72,558,108,23,1,54,180,54
0,0,24,0,0,25,319,319,01-01-2010 00:00:00,Central,Small Market,Amaretto,1,Coffee,1,34.3,0,0-49,0-69,0,0,Iowa,Regular,45,45,45,10,30,20,40,18,821,27,5,1,11,45,16
0,50,48,50,50,50,641,641,01-01-2010 00:00:00,Central,Small Market,Columbian,2,Coffee,2,34.3,0,50-99,0-69,0,0,Iowa,Regular,62,62,62,20,40,20,60,28,965,34,8,1,5,62,29
0,50,48,50,50,50,712,712,01-01-2010 00:00:00,Central,Small Market,Decaf Irish Cream,3,Coffee,3,34.3,0,50-99,0-69,0,0,Iowa,Decaf,54,54,54,20,30,20,50,23,623,31,7,1,12,54,19
0,0,24,0,0,25,563,563,01-01-2010 00:00:00,Central,Small Market,Caffe Mocha,5,Espresso,5,34.3,0,0-49,0-69,0,0,Iowa,Regular,43,43,43,10,40,30,50,17,777,26,4,1,11,43,15
0,0,24,0,0,25,563,563,01-01-2010 00:00:00,Central,Small Market,Decaf Espresso,6,Espresso,6,34.3,0,0-49,0-69,0,0,Iowa,Decaf,43,43,43,10,40,30,50,17,777,26,4,1,10,43,16
400,400,382,400,400,400,641,641,01-01-2010 00:00:00,Central,Small Market,Chamomile,8,Herbal Tea,8,514.5,500,500,490,500,480,Iowa,Decaf,400,400,400,200,280,200,480,234,1310,312,77,1,202,546,110
200,200,215,200,200,225,563,563,01-01-2010 00:00:00,Central,Small Market,Lemon,9,Herbal Tea,9,205.8,200,200,210,200,160,Iowa,Decaf,234,234,234,80,120,90,200,95,608,139,30,1,86,234,53
400,400,382,400,400,400,712,712,01-01-2010 00:00:00,Central,Small Market,Darjeeling,11,Tea,11,445.9,400,450,420,400,400,Iowa,Regular,400,400,400,190,210,140,400,228,1459,228,63,1,141,456,87
400,400,382,400,400,400,319,319,01-01-2010 00:00:00,Central,Small Market,Earl Grey,12,Tea,12,514.5,500,500,490,500,480,Iowa,Regular,400,400,400,210,270,160,480,245,1419,301,93,1,175,546,126
0,150,167,150,150,175,636,636,01-01-2010 00:00:00,Central,Small Market,Columbian,2,Coffee,2,171.5,100,150,140,100,160,Missouri,Regular,190,190,190,90,100,40,190,85,494,105,32,1,39,190,66
0,150,167,150,150,150,573,573,01-01-2010 00:00:00,Central,Small Market,Decaf Irish Cream,3,Coffee,3,137.2,100,150,140,100,160,Missouri,Decaf,170,170,170,80,90,50,170,78,965,92,24,1,47,170,45
0,50,72,50,50,75,417,417,01-01-2010 00:00:00,Central,Small Market,Green Tea,13,Tea,13,68.6,0,50-99,77-139,0,0,Missouri,Regular,76,76,76,20,40,0,60,34,197,42,12,1,-4,76,46
0,100,120,100,100,100,573,573,01-01-2010 00:00:00,Central,Small Market,Caffe Mocha,5,Espresso,5,102.9,100,100,77-139,100,80,Missouri,Regular,123,123,123,50,90,70,140,50,821,73,14,1,48,123,25
0,100,96,100,100,100,660,660,01-01-2010 00:00:00,Central,Small Market,Decaf Espresso,6,Espresso,6,102.9,100,100,77-139,100,80,Missouri,Decaf,114,114,114,50,80,60,130,46,777,68,12,1,45,114,23
0,50,72,50,50,75,573,573,01-01-2010 00:00:00,Central,Small Market,Chamomile,8,Herbal Tea,8,68.6,0,50-99,77-139,0,80,Missouri,Decaf,90,90,90,30,40,0,70,37,261,53,34,1,-11,90,64
0,50,96,50,50,75,314,314,01-01-2010 00:00:00,Central,Small Market,Lemon,9,Herbal Tea,9,68.6,0,50-99,77-139,0,80,Missouri,Decaf,99,99,99,70,10,-20,80,88,525,11,27,1,-39,99,50
0,50,72,50,50,75,314,314,01-01-2010 00:00:00,Central,Small Market,Darjeeling,11,Tea,11,68.6,0,50-99,77-139,0,80,Missouri,Regular,82,82,82,30,40,10,70,35,196,47,11,1,9,82,38
0,50,48,50,50,50,573,573,01-01-2010 00:00:00,Central,Small Market,Earl Grey,12,Tea,12,34.3,0,50-99,0-69,0,0,Missouri,Regular,65,65,65,20,30,-10,50,29,169,36,11,1,-9,65,45
0,100,120,100,100,125,740,740,01-01-2010 00:00:00,Central,Major Market,Amaretto,1,Coffee,1,137.2,100,100,140,100,80,Ohio,Regular,140,140,140,60,80,50,140,60,336,80,19,1,34,140,46
0,100,120,100,100,125,614,614,01-01-2010 00:00:00,Central,Major Market,Columbian,2,Coffee,2,137.2,100,100,140,100,80,Ohio,Regular,140,140,140,60,80,50,140,57,364,83,18,1,42,140,41
0,150,143,150,150,150,614,614,01-01-2010 00:00:00,Central,Major Market,Decaf Irish Cream,3,Coffee,3,137.2,100,150,140,100,80,Ohio,Decaf,150,150,150,60,90,20,150,63,435,87,57,1,0,150,87
200,200,191,200,200,200,216,216,01-01-2010 00:00:00,Central,Major Market,Earl Grey,12,Tea,12,171.5,200,200,140,200,160,Ohio,Regular,200,200,200,70,100,60,170,84,500,116,26,1,67,200,49
0,100,120,100,100,125,614,614,01-01-2010 00:00:00,Central,Major Market,Decaf Espresso,6,Espresso,6,102.9,100,100,77-139,100,80,Ohio,Decaf,130,130,130,60,90,40,150,58,338,72,22,1,16,130,56
200,300,335,300,300,325,614,614,01-01-2010 00:00:00,Central,Major Market,Caffe Mocha,5,Espresso,5,308.7,300,300,280,300,320,Ohio,Regular,341,341,341,190,210,140,400,170,1091,171,47,1,99,341,72
0,50,72,50,50,75,937,937,01-01-2010 00:00:00,Central,Major Market,Chamomile,8,Herbal Tea,8,68.6,0,50-99,77-139,0,80,Ohio,Decaf,80,80,80,20,50,50,70,32,456,48,8,1,29,80,19
0,50,72,50,50,75,740,740,01-01-2010 00:00:00,Central,Major Market,Lemon,9,Herbal Tea,9,68.6,0,50-99,77-139,0,80,Ohio,Decaf,80,80,80,20,50,50,70,32,821,48,8,1,29,80,19
200,200,191,200,200,200,567,567,01-01-2010 00:00:00,Central,Major Market,Darjeeling,11,Tea,11,205.8,200,200,210,200,160,Ohio,Regular,210,210,210,70,110,60,180,84,651,126,27,1,68,210,58
0,100,120,100,100,100,262,262,01-01-2010 00:00:00,Central,Small Market,Amaretto,1,Coffee,1,102.9,100,100,77-139,100,80,Wisconsin,Regular,120,120,120,50,70,30,120,54,312,66,20,1,13,120,53
0,150,167,150,150,175,262,262,01-01-2010 00:00:00,Central,Small Market,Columbian,2,Coffee,2,171.5,100,150,140,100,160,Wisconsin,Regular,190,190,190,80,110,20,190,79,551,111,72,1,9,190,102
0,150,167,150,150,175,414,414,01-01-2010 00:00:00,Central,Small Market,Decaf Irish Cream,3,Coffee,3,171.5,100,150,140,100,160,Wisconsin,Decaf,180,180,180,80,100,60,180,77,432,103,25,1,51,180,52
0,150,167,150,150,175,262,262,01-01-2010 00:00:00,Central,Small Market,Earl Grey,12,Tea,12,171.5,100,150,140,100,160,Wisconsin,Regular,180,180,180,60,90,10,150,75,522,105,68,1,7,180,98
0,100,96,100,100,100,262,262,01-01-2010 00:00:00,Central,Small Market,Decaf Espresso,6,Espresso,6,102.9,100,100,77-139,100,80,Wisconsin,Decaf,110,110,110,50,70,50,120,48,623,62,15,1,34,110,28
0,150,143,150,150,150,414,414,01-01-2010 00:00:00,Central,Small Market,Caffe Mocha,5,Espresso,5,137.2,100,150,140,100,80,Wisconsin,Regular,150,150,150,80,90,50,170,69,965,81,21,1,38,150,43
0,150,167,150,150,175,715,715,01-01-2010 00:00:00,Central,Small Market,Chamomile,8,Herbal Tea,8,171.5,100,150,140,100,160,Wisconsin,Decaf,180,180,180,50,100,80,150,67,400,113,20,1,70,180,43
0,50,72,50,50,75,715,715,01-01-2010 00:00:00,Central,Small Market,Lemon,9,Herbal Tea,9,68.6,0,50-99,77-139,0,80,Wisconsin,Decaf,81,81,81,20,50,50,70,33,777,48,9,1,28,81,20
